location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,Double dose,2049,4779.0166,2760.0737,7447.0880
bangladesh,Double dose,2050,5801.2661,3669.8758,8786.2350
bangladesh,Double dose,2051,7079.0781,4538.7879,10575.1718
bangladesh,Double dose,2052,8561.3400,5612.1500,12476.5561
bangladesh,Double dose,2053,10222.4957,6833.7383,14480.1654
bangladesh,Double dose,2054,12266.9949,8418.2252,16948.8983
bangladesh,Double dose,2055,14337.0504,10130.4933,19606.7474
bangladesh,Double dose,2056,16637.1121,12164.7700,22535.4927
bangladesh,Double dose,2057,19192.7363,14357.4955,26072.4766
bangladesh,Double dose,2058,22157.2603,16856.8959,29803.6877
bangladesh,Double dose,2059,25479.5717,19662.9713,33805.7952
bangladesh,Double dose,2060,28776.3269,22566.1603,38186.1347
bangladesh,Double dose,2061,32763.1006,25970.2518,42980.4850
bangladesh,Double dose,2062,36800.9868,29037.0008,47943.5063
bangladesh,Double dose,2063,40915.5417,32763.1007,53172.3123
bangladesh,Double dose,2064,45515.6645,36576.0920,58963.3551
bangladesh,Double dose,2065,50396.9059,40751.9816,64815.7325
bangladesh,Double dose,2066,54843.6917,44631.4190,70545.4403
bangladesh,Double dose,2067,59776.0456,48889.0886,76479.5979
bangladesh,Double dose,2068,64503.9499,52932.0860,81958.8548
bangladesh,Double dose,2069,69615.1975,57317.5366,87811.2325
bangladesh,Double dose,2070,74496.4391,61340.0888,93193.3760
bangladesh,Double dose,2071,79454.3491,65561.9798,98790.1916
bangladesh,Double dose,2072,84258.9220,69645.8671,104162.1125
bangladesh,Double dose,2073,89012.3821,73612.1957,109477.8095
bangladesh,Double dose,2074,93765.8425,77803.4191,114553.2784
bangladesh,Double dose,2075,98187.0720,81575.5202,119684.9709
bangladesh,Double dose,2076,102608.3017,85388.5115,124929.1108
bangladesh,Double dose,2077,106876.1938,89160.6125,129764.3512
bangladesh,Double dose,2078,110914.0800,92666.9289,134773.3738
bangladesh,Double dose,2079,115207.5283,96275.4701,139424.6092
bangladesh,Double dose,2080,119092.0768,99485.3341,143983.8423
bangladesh,Double dose,2081,122695.5067,102679.8642,148430.6279
bangladesh,Double dose,2082,126273.3806,105593.2758,152376.5116
bangladesh,Double dose,2083,129646.8046,108506.6873,156399.0639
bangladesh,Double dose,2084,132815.7786,111225.8714,159823.6004
bangladesh,Double dose,2085,135729.1902,113669.0481,163345.2505
bangladesh,Double dose,2086,138744.8265,116066.2235,166667.5619
bangladesh,Double dose,2087,141556.0131,118304.9503,169862.0921
bangladesh,Double dose,2088,144418.3122,120538.5657,173261.0721
bangladesh,Double dose,2089,146820.5989,122634.1775,176378.9336
bangladesh,Double dose,2090,149146.2168,124418.0031,179154.3415
bangladesh,Double dose,2091,151190.7161,125695.8150,182016.6405
bangladesh,Double dose,2092,153005.2092,127121.8532,184383.1485
bangladesh,Double dose,2093,154973.0397,128839.2326,186693.4327
bangladesh,Double dose,2094,156659.7516,130214.1583,188896.3807
bangladesh,Double dose,2095,158218.6822,131236.4078,190695.5400
bangladesh,Double dose,2096,159803.1691,132463.1073,192591.8130
bangladesh,Double dose,2097,161106.5373,133480.2456,194590.3111
bangladesh,Double dose,2098,162333.2368,134395.1590,196241.2442
bangladesh,Double dose,2099,163406.5988,135192.5136,197488.3887
bangladesh,Double dose,2100,164352.1796,135805.8634,198566.8620
bangladesh,Double dose,2101,165297.7605,136414.1018,199849.7852
bangladesh,Double dose,2102,166064.4476,136925.2266,200928.2585
bangladesh,Double dose,2103,166728.9098,137380.1277,202011.8431
bangladesh,Double dose,2104,167393.3720,137875.9187,202834.7540
bangladesh,Double dose,2105,167853.3843,138131.4811,203499.2161
bangladesh,Double dose,2106,168287.8404,138387.0434,204117.6771
bangladesh,Double dose,2107,168722.2964,138591.4934,204679.9144
bangladesh,Double dose,2108,169003.4150,138785.7208,205139.9267
bangladesh,Double dose,2109,169233.4212,138933.9469,205502.8252
bangladesh,Double dose,2110,169386.7586,139031.0606,205758.3876
bangladesh,Double dose,2111,169488.9836,139077.0619,205962.8375
bangladesh,Double dose,2112,169591.2085,139077.0619,206116.1750
bangladesh,Double dose,2113,169591.2085,139077.0619,206167.2874
bangladesh,Double dose,2114,169591.2085,139077.0619,206223.5112
bangladesh,Double dose,2115,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2116,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2117,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2118,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2119,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2120,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2121,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2122,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2123,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2124,169591.2085,139077.0619,206228.6224
bangladesh,Double dose,2125,169591.2085,139077.0619,206228.6224
burkina faso,No vaccination,2024,0.0000,0.0000,0.0000
burkina faso,No vaccination,2025,0.0000,0.0000,0.0000
burkina faso,No vaccination,2026,0.0000,0.0000,0.0000
burkina faso,No vaccination,2027,0.0000,0.0000,0.0000
burkina faso,No vaccination,2028,0.0000,0.0000,4.7442
burkina faso,No vaccination,2029,0.0000,0.0000,9.4884
burkina faso,No vaccination,2030,0.0000,0.0000,14.2326
burkina faso,No vaccination,2031,0.0000,0.0000,23.7210
burkina faso,No vaccination,2032,7.1163,0.0000,33.2094
burkina faso,No vaccination,2033,14.2326,4.2698,48.3909
burkina faso,No vaccination,2034,28.4652,9.0140,72.5864
burkina faso,No vaccination,2035,52.1863,9.0140,111.0144
burkina faso,No vaccination,2036,87.7678,27.5164,168.4193
